Selected Geographies,Year,Total,With health insurance coverage,No health insurance coverage
Alabama,2022,5074296,4622294,452002
Alaska,2022,733583,656513,77070
Arizona,2022,7359197,6576618,782579
Arkansas,2022,3045637,2763935,281702
California,2022,39029342,36470566,2558776
Colorado,2022,5839926,5415738,424188
Connecticut,2022,3626205,3439422,186783
Delaware,2022,1018396,960775,57621
District of Columbia,2022,671803,650711,21092
Florida,2022,22244823,19691387,2553436
Georgia,2022,10912876,9586486,1326390
Hawaii,2022,1440196,1388038,52158
Idaho,2022,1939033,1782110,156923
Illinois,2022,12582032,11737817,844215
Indiana,2022,6833037,6362048,470989
Iowa,2022,3200517,3065779,134738
Kansas,2022,2937150,2679557,257593
Kentucky,2022,4512310,4251335,260975
Louisiana,2022,4590241,4251429,338812
Maine,2022,1385340,1295602,89738
Maryland,2022,6164660,5785551,379109
Massachusetts,2022,6981974,6811389,170585
Michigan,2022,10034118,9556356,477762
Minnesota,2022,5717184,5462036,255148
Mississippi,2022,2940057,2602466,337591
Missouri,2022,6177957,5643267,534690
Montana,2022,1122867,1032489,90378
Nebraska,2022,1967923,1835097,132826
Nevada,2022,3177772,2819236,358536
New Hampshire,2022,1395231,1329452,65779
New Jersey,2022,9261699,8625244,636455
New Mexico,2022,2113344,1933850,179494
New York,2022,19677151,18715900,961251
North Carolina,2022,10698973,9682541,1016432
North Dakota,2022,779261,727794,51467
Ohio,2022,11756058,11049368,706690
Oklahoma,2022,4019800,3525787,494013
Oregon,2022,4240137,3979656,260481
Pennsylvania,2022,12972008,12246680,725328
Rhode Island,2022,1093734,1049828,43906
South Carolina,2022,5282634,4796464,486170
South Dakota,2022,909824,834938,74886
Tennessee,2022,7051339,6364410,686929
Texas,2022,30029572,24918316,5111256
Utah,2022,3380800,3102653,278147
Vermont,2022,647064,622300,24764
Virginia,2022,8683619,8111761,571858
Washington,2022,7785786,7321653,464133
West Virginia,2022,1775156,1657132,118024
Wisconsin,2022,5892539,5568594,323945
Wyoming,2022,581381,513275,68106
Alabama,2021,5039877,4513584,526293
Alaska,2021,732673,654671,78002
Arizona,2021,7276316,6481411,794905
Arkansas,2021,3025891,2732119,293772
California,2021,39237836,36419431,2818405
Colorado,2021,5812069,5339168,472901
Connecticut,2021,3605597,3419614,185983
Delaware,2021,1003384,941943,61441
District of Columbia,2021,670050,645228,24822
Florida,2021,21781128,19046072,2735056
Georgia,2021,10799566,9375443,1424123
Hawaii,2021,1441553,1388342,53211
Idaho,2021,1900923,1736913,164010
Illinois,2021,12671469,11783176,888293
Indiana,2021,6805985,6288477,517508
Iowa,2021,3193079,3031501,161578
Kansas,2021,2934582,2662728,271854
Kentucky,2021,4509394,4247978,261416
Louisiana,2021,4624047,4242459,381588
Maine,2021,1372247,1295858,76389
Maryland,2021,6165129,5781974,383155
Massachusetts,2021,6984723,6809830,174893
Michigan,2021,10050811,9515579,535232
Minnesota,2021,5707390,5457548,249842
Mississippi,2021,2949965,2574700,375265
Missouri,2021,6168187,5584003,584184
Montana,2021,1104271,1016536,87735
Nebraska,2021,1963692,1822921,140771
Nevada,2021,3143991,2781482,362509
New Hampshire,2021,1388992,1319122,69870
New Jersey,2021,9267130,8592436,674694
New Mexico,2021,2115877,1902582,213295
New York,2021,19835913,18797852,1038061
North Carolina,2021,10551162,9449599,1101563
North Dakota,2021,774948,716847,58101
Ohio,2021,11780017,10987848,792169
Oklahoma,2021,3986639,3428016,558623
Oregon,2021,4246155,3978917,267238
