Selected Geographies,Year,Total,With public health coverage,Without public health coverage
Alabama,2022,5074296,1973602,3100694
Alaska,2022,733583,270589,462994
Arizona,2022,7359197,2832233,4526964
Arkansas,2022,3045637,1375945,1669692
California,2022,39029342,15605301,23424041
Colorado,2022,5839926,1926442,3913484
Connecticut,2022,3626205,1369862,2256343
Delaware,2022,1018396,402835,615561
District of Columbia,2022,671803,224216,447587
Florida,2022,22244823,8347011,13897812
Georgia,2022,10912876,3591948,7320928
Hawaii,2022,1440196,556141,884055
Idaho,2022,1939033,722211,1216822
Illinois,2022,12582032,4546722,8035310
Indiana,2022,6833037,2542713,4290324
Iowa,2022,3200517,1217225,1983292
Kansas,2022,2937150,912703,2024447
Kentucky,2022,4512310,2053997,2458313
Louisiana,2022,4590241,2196585,2393656
Maine,2022,1385340,564063,821277
Maryland,2022,6164660,2175275,3989385
Massachusetts,2022,6981974,2684422,4297552
Michigan,2022,10034118,4099952,5934166
Minnesota,2022,5717184,2012124,3705060
Mississippi,2022,2940057,1176902,1763155
Missouri,2022,6177957,2118295,4059662
Montana,2022,1122867,463245,659622
Nebraska,2022,1967923,630919,1337004
Nevada,2022,3177772,1178095,1999677
New Hampshire,2022,1395231,474170,921061
New Jersey,2022,9261699,3143536,6118163
New Mexico,2022,2113344,1073278,1040066
New York,2022,19677151,8517001,11160150
North Carolina,2022,10698973,3840974,6857999
North Dakota,2022,779261,226818,552443
Ohio,2022,11756058,4610555,7145503
Oklahoma,2022,4019800,1579599,2440201
Oregon,2022,4240137,1746253,2493884
Pennsylvania,2022,12972008,5126146,7845862
Rhode Island,2022,1093734,421936,671798
South Carolina,2022,5282634,2046813,3235821
South Dakota,2022,909824,292849,616975
Tennessee,2022,7051339,2524911,4526428
Texas,2022,30029572,8874661,21154911
Utah,2022,3380800,748088,2632712
Vermont,2022,647064,275859,371205
Virginia,2022,8683619,2987959,5695660
Washington,2022,7785786,2841230,4944556
West Virginia,2022,1775156,866387,908769
Wisconsin,2022,5892539,2113978,3778561
Wyoming,2022,581381,182050,399331
Alabama,2021,5039877,1875601,3164276
Alaska,2021,732673,278623,454050
Arizona,2021,7276316,2838081,4438235
Arkansas,2021,3025891,1339107,1686784
California,2021,39237836,15457191,23780645
Colorado,2021,5812069,1922907,3889162
Connecticut,2021,3605597,1378329,2227268
Delaware,2021,1003384,399611,603773
District of Columbia,2021,670050,229376,440674
Florida,2021,21781128,8110182,13670946
Georgia,2021,10799566,3483460,7316106
Hawaii,2021,1441553,553796,887757
Idaho,2021,1900923,705085,1195838
Illinois,2021,12671469,4509844,8161625
Indiana,2021,6805985,2458975,4347010
Iowa,2021,3193079,1182586,2010493
Kansas,2021,2934582,936783,1997799
Kentucky,2021,4509394,2061816,2447578
Louisiana,2021,4624047,2164098,2459949
Maine,2021,1372247,548725,823522
Maryland,2021,6165129,2202647,3962482
Massachusetts,2021,6984723,2622715,4362008
Michigan,2021,10050811,4091850,5958961
Minnesota,2021,5707390,2007563,3699827
Mississippi,2021,2949965,1176438,1773527
Missouri,2021,6168187,2034373,4133814
Montana,2021,1104271,440262,664009
Nebraska,2021,1963692,608973,1354719
Nevada,2021,3143991,1161719,1982272
New Hampshire,2021,1388992,459448,929544
New Jersey,2021,9267130,3119274,6147856
New Mexico,2021,2115877,1090781,1025096
New York,2021,19835913,8384452,11451461
North Carolina,2021,10551162,3772267,6778895
North Dakota,2021,774948,206130,568818
Ohio,2021,11780017,4614041,7165976
Oklahoma,2021,3986639,1490168,2496471
Oregon,2021,4246155,1776631,2469524
Pennsylvania,2021,12964056,4996334,7967722
Rhode Island,2021,1095610,441958,653652
South Carolina,2021,5190705,2014273,3176432
South Dakota,2021,895376,283162,612214
Tennessee,2021,6975218,2541020,4434198
Texas,2021,29527941,8772165,20755776
Utah,2021,3337975,740007,2597968
Vermont,2021,645570,276418,369152
Virginia,2021,8642274,2817386,5824888
Washington,2021,7738692,2821842,4916850
West Virginia,2021,1782959,865470,917489
Wisconsin,2021,5895908,2088565,3807343
Wyoming,2021,578803,175179,403624
Alabama,2019,4903185,1819443,3083742
Alaska,2019,731545,249683,481862
Arizona,2019,7278717,2792303,4486414
Arkansas,2019,3017804,1322478,1695326
California,2019,39512223,14983955,24528268
Colorado,2019,5758736,1810389,3948347
Connecticut,2019,3565287,1328869,2236418
Delaware,2019,973764,380861,592903
District of Columbia,2019,705749,243730,462019
Florida,2019,21477737,7905019,13572718
Georgia,2019,10617423,3328332,7289091
Hawaii,2019,1415872,501485,914387
Idaho,2019,1787065,575317,1211748
Illinois,2019,12671821,4310716,8361105
Indiana,2019,6732219,2308075,4424144
Iowa,2019,3155070,1158500,1996570
Kansas,2019,2913314,892530,2020784
Kentucky,2019,4467673,1921134,2546539
Louisiana,2019,4648794,2071824,2576970
Maine,2019,1344212,542324,801888
Maryland,2019,6045680,2057082,3988598
Massachusetts,2019,6892503,2505966,4386537
Michigan,2019,9986857,3890670,6096187
Minnesota,2019,5639632,1861647,3777985
Mississippi,2019,2976149,1174975,1801174
Missouri,2019,6137428,2002515,4134913
Montana,2019,1068778,439398,629380
Nebraska,2019,1934408,550639,1383769
Nevada,2019,3080156,1036090,2044066
New Hampshire,2019,1359711,443136,916575
New Jersey,2019,8882190,2849096,6033094
New Mexico,2019,2096829,1035299,1061530
New York,2019,19453561,7783980,11669581
North Carolina,2019,10488084,3655993,6832091
North Dakota,2019,762062,213601,548461
Ohio,2019,11689100,4392357,7296743
Oklahoma,2019,3956971,1349360,2607611
Oregon,2019,4217737,1629305,2588432
Pennsylvania,2019,12801989,4881404,7920585
Rhode Island,2019,1059361,387648,671713
South Carolina,2019,5148714,1916644,3232070
South Dakota,2019,884659,276494,608165
Tennessee,2019,6829174,2476353,4352821
Texas,2019,28995881,8215740,20780141
Utah,2019,3205958,656278,2549680
