Source: ACS 1-Year Estimates Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Health insurance coverage recode (HICOV)","",""
"Selected Geographies","Total","With health insurance coverage","No health insurance coverage"
" -> Total","328239523","297236227","31003296"
"Alabama","4903185","4408053","495132"
"Alaska","731545","647548","83997"
"Arizona","7278717","6426137","852580"
"Arkansas","3017804","2727976","289828"
"California","39512223","36369558","3142665"
"Colorado","5758736","5294381","464355"
"Connecticut","3565287","3356042","209245"
"Delaware","973764","903976","69788"
"District of Columbia","705749","679829","25920"
"Florida","21477737","18562959","2914778"
"Georgia","10617423","9132311","1485112"
"Hawaii","1415872","1356521","59351"
"Idaho","1787065","1600198","186867"
"Illinois","12671821","11731288","940533"
"Indiana","6732219","6127693","604526"
"Iowa","3155070","3001444","153626"
"Kansas","2913314","2638552","274762"
"Kentucky","4467673","4167693","299980"
"Louisiana","4648794","4206806","441988"
"Maine","1344212","1235645","108567"
"Maryland","6045680","5680276","365404"
"Massachusetts","6892503","6679450","213053"
"Michigan","9986857","9392053","594804"
"Minnesota","5639632","5362674","276958"
"Mississippi","2976149","2569663","406486"
"Missouri","6137428","5498203","639225"
"Montana","1068778","979263","89515"
"Nebraska","1934408","1776778","157630"
"Nevada","3080156","2715447","364709"
"New Hampshire","1359711","1271566","88145"
"New Jersey","8882190","8167363","714827"
"New Mexico","2096829","1883987","212842"
"New York","19453561","18406523","1047038"
"North Carolina","10488084","9287199","1200885"
"North Dakota","762062","706165","55897"
"Ohio","11689100","10884584","804516"
"Oklahoma","3956971","3352830","604141"
"Oregon","4217737","3909530","308207"
"Pennsylvania","12801989","12023288","778701"
"Rhode Island","1059361","1014696","44665"
"South Carolina","5148714","4581067","567647"
"South Dakota","884659","798603","86056"
"Tennessee","6829174","6107077","722097"
"Texas","28995881","23524977","5470904"
"Utah","3205958","2891053","314905"
"Vermont","623989","597024","26965"
"Virginia","8535519","7840366","695153"
"Washington","7614893","7110832","504061"
"West Virginia","1792147","1666108","126039"
"Wisconsin","5822434","5475762","346672"
"Wyoming","578759","507210","71549"
