Source: ACS 1-Year Estimates Public Use Microdata Sample 2017
Weight used: PWGTP
"Universe: selected geographies: Alabama, Alaska, Arizona, Arkansas, California, Colorado, Connecticut, Delaware, District of Columbia, Florida, Georgia, Hawaii, Idaho, Illinois, Indiana, Iowa, Kansas, Kentucky, Louisiana, Maine, Maryland, Massachusetts, Michigan, Minnesota, Mississippi, Missouri, Montana, Nebraska, Nevada, New Hampshire, New Jersey, New Mexico, New York, North Carolina, North Dakota, Ohio, Oklahoma, Oregon, Pennsylvania, Rhode Island, South Carolina, South Dakota, Tennessee, Texas, Utah, Vermont, Virginia, Washington, West Virginia, Wisconsin, Wyoming"
"","Health insurance coverage recode (HICOV)","",""
"Selected Geographies","Total","With health insurance coverage","No health insurance coverage"
" -> Total","325719178","296327732","29391446"
"Alabama","4874747","4387572","487175"
"Alaska","739795","637503","102292"
"Arizona","7016270","6267194","749076"
"Arkansas","3004279","2746141","258138"
"California","39536653","36601429","2935224"
"Colorado","5607154","5169862","437292"
"Connecticut","3588184","3384501","203683"
"Delaware","961939","904510","57429"
"District of Columbia","693972","668183","25789"
"Florida","20984400","18181693","2802707"
"Georgia","10429379","8975060","1454319"
"Hawaii","1427538","1373708","53830"
"Idaho","1716943","1528252","188691"
"Illinois","12802023","11910126","891897"
"Indiana","6666818","6093496","573322"
"Iowa","3145711","3006630","139081"
"Kansas","2913123","2659656","253467"
"Kentucky","4454189","4196289","257900"
"Louisiana","4684333","4263444","420889"
"Maine","1335907","1230891","105016"
"Maryland","6052177","5666905","385272"
"Massachusetts","6859819","6666275","193544"
"Michigan","9962311","9428835","533476"
"Minnesota","5576606","5318085","258521"
"Mississippi","2984100","2600445","383655"
"Missouri","6113532","5541562","571970"
"Montana","1050493","954616","95877"
"Nebraska","1920076","1756152","163924"
"Nevada","2998039","2656856","341183"
"New Hampshire","1342795","1265988","76807"
"New Jersey","9005644","8305399","700245"
"New Mexico","2088070","1890348","197722"
"New York","19849399","18688369","1161030"
"North Carolina","10273419","9168479","1104940"
"North Dakota","755393","697694","57699"
"Ohio","11658609","10940501","718108"
"Oklahoma","3930864","3368389","562475"
"Oregon","4142776","3853486","289290"
"Pennsylvania","12805537","12054447","751090"
"Rhode Island","1059639","1012050","47589"
"South Carolina","5024369","4448997","575372"
"South Dakota","869666","789516","80150"
"Tennessee","6715984","6061081","654903"
"Texas","28304596","23244294","5060302"
"Utah","3101833","2813353","288480"
"Vermont","623657","597556","26101"
"Virginia","8470020","7704993","765027"
"Washington","7405743","6951930","453813"
"West Virginia","1815857","1702541","113316"
"Wisconsin","5795483","5484526","310957"
"Wyoming","579315","507924","71391"
