"State","Year","Total","With public health coverage","Without public health coverage","SNAP Household Participation","SNAP Persons Participation","SNAP Total Cost","SNAP Cost Per Household","SNAP Cost Per Persons","SNAP","Total(SNAP-Racebased)","White_alone","Black or African American alone","American Indian alone","Alaska Native alone","American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","Asian alone","Native Hawaiian and Other Pacific Islander alone","Some other race alone","Two or More Races"
"Alabama",2022,5074296,1973602,3100694,377493,761074,2161908716,477.25,236.72,"Yes",766430,306602,382608,3966,0,1073,5994,479,18672,47036
"Alaska",2022,733583,270589,462994,42933,92119,348717900,676.87,315.46,"Yes",101293,29166,11036,953,30881,103,2558,2796,1634,22166
"Arizona",2022,7359197,2832233,4526964,389950,825666,1912395634,408.68,193.02,"Yes",964244,356189,66503,97104,0,6515,22733,562,139675,274963
"Arkansas",2022,3045637,1375945,1669692,139483,280390,509586699,304.45,151.45,"Yes",355578,194215,107058,4919,217,210,2022,1004,10133,35800
"California",2022,39029342,15605301,23424041,2616064,4627744,14424776610,459.49,259.75,"Yes",5714468,1487712,502681,90910,458,17483,743641,36528,1575133,1259922
"Colorado",2022,5839926,1926442,3913484,278551,540303,1473934886,440.95,227.33,"Yes",584674,320664,47957,10558,0,3334,16260,811,56031,129059
"Connecticut",2022,3626205,1369862,2256343,218739,375361,1115512850,424.98,247.65,"Yes",448643,178981,95768,722,0,709,21047,0,72642,78774
"Delaware",2022,1018396,402835,615561,58805,118842,323485761,458.42,226.83,"Yes",130775,41930,54113,435,0,0,2983,0,8154,23160
"District of Columbia",2022,671803,224216,447587,89806,145805,444360725,412.34,253.97,"Yes",109577,4579,92016,0,0,0,1519,98,4851,6514
"Florida",2022,22244823,8347011,13897812,1581511,2847086,4975326996,262.16,145.63,"Yes",3231332,1092538,890775,15076,0,4973,56990,1986,309957,859037
"Georgia",2022,10912876,3591948,7320928,791150,1608203,4093404907,431.17,212.11,"Yes",1668989,497182,893324,6843,0,958,42669,1745,62766,163502
"Hawaii",2022,1440196,556141,884055,95820,169014,900720734,783.34,444.11,"Yes",229181,31161,3344,46,138,125,53716,63247,1427,75977
"Idaho",2022,1939033,722211,1216822,60950,124078,220405707,301.35,148.03,"Yes",165832,121578,1958,4212,370,443,324,0,11866,25081
"Illinois",2022,12582032,4546722,8035310,1069365,1981714,5678772072,442.53,238.8,"Yes",2031047,756491,652381,10214,0,3700,75228,538,235204,297291
"Indiana",2022,6833037,2542713,4290324,290070,617630,1523624552,437.72,205.57,"Yes",711894,406095,175735,1801,0,211,18117,809,35615,73511
"Iowa",2022,3200517,1217225,1983292,138155,278827,596714651,359.93,178.34,"Yes",308412,205287,44212,1896,0,1798,7930,4533,20375,22381
"Kansas",2022,2937150,912703,2024447,96710,195799,558884067,481.58,237.86,"Yes",220951,142543,24180,1512,33,2130,4995,1701,14250,29607
"Kentucky",2022,4512310,2053997,2458313,250125,541623,1265479724,421.62,194.7,"Yes",679163,509746,82207,2659,0,84,10377,173,13049,60868
"Louisiana",2022,4590241,2196585,2393656,400885,822649,2388597365,496.53,241.96,"Yes",931196,331735,494917,5058,0,1317,8760,79,18542,70788
"Maine",2022,1385340,564063,821277,93327,162159,475481103,424.57,244.35,"Yes",167375,138536,8684,2847,0,234,587,0,1120,15367
"Maryland",2022,6164660,2175275,3989385,436152,772731,2117227174,404.53,228.33,"Yes",824003,228754,424523,3139,0,1206,28979,150,63768,73484
"Massachusetts",2022,6981974,2684422,4297552,614479,1024442,3135942192,425.28,255.09,"Yes",1120132,491711,179610,3129,0,1042,88480,378,144779,211003
"Michigan",2022,10034118,4099952,5934166,719803,1351310,3941434011,456.31,243.06,"Yes",1488786,784363,479083,11438,0,817,27270,378,42350,143087
"Minnesota",2022,5717184,2012124,3705060,223952,435910,1811331171,674,346.27,"Yes",483592,238007,108729,15165,0,4611,46753,0,18050,52277
"Mississippi",2022,2940057,1176902,1763155,208130,413651,851232937,340.83,171.49,"Yes",466500,143140,282572,1389,0,102,1936,47,11443,25871
"Missouri",2022,6177957,2118295,4059662,322374,657870,1298301743,335.61,164.46,"Yes",700122,406018,197027,1347,0,862,9051,379,11758,73680
"Montana",2022,1122867,463245,659622,45210,89167,155175590,286.03,145.02,"Yes",90159,60440,307,15938,48,1921,296,0,967,10242
"Nebraska",2022,1967923,630919,1337004,75021,155550,265904110,295.37,142.45,"Yes",181245,100701,23042,9466,0,477,2438,58,18556,26507
"Nevada",2022,3177772,1178095,1999677,239858,455231,1281156203,445.11,234.52,"Yes",504672,177926,82346,9523,67,428,41410,4341,87310,101321
"New Hampshire",2022,1395231,474170,921061,36375,69343,200380711,459.06,240.81,"Yes",101959,78454,1491,400,0,0,1894,584,2471,16665
"New Jersey",2022,9261699,3143536,6118163,444445,857304,2576443628,483.08,250.44,"Yes",1050215,292594,266049,14242,0,2334,66745,0,213676,194575
"New Mexico",2022,2113344,1073278,1040066,266985,518799,1486850924,464.09,238.83,"Yes",469026,166532,10313,67174,0,2246,4504,1233,99706,117318
"New York",2022,19677151,8517001,11160150,1640265,2839326,8699495581,441.98,255.33,"Yes",3498851,1134905,859685,29438,0,10856,343153,2413,668029,450372
"North Carolina",2022,10698973,3840974,6857999,811489,1599930,4737610255,486.51,246.76,"Yes",1659193,665445,641000,36871,58,5935,24674,1210,112635,171365
"North Dakota",2022,779261,226818,552443,23742,47417,90503186,317.67,159.06,"Yes",45383,22179,5732,7812,0,1784,402,260,1677,5537
"Ohio",2022,11756058,4610555,7145503,755836,1491294,4299141255,473.99,240.24,"Yes",1635714,930924,446222,3218,103,1407,40374,292,37154,176020
"Oklahoma",2022,4019800,1579599,2440201,303344,650640,1802791838,495.26,230.9,"Yes",682765,339633,99613,78065,0,2091,14693,1842,29081,117747
"Oregon",2022,4240137,1746253,2493884,415451,718580,2094359050,420.1,242.88,"Yes",746835,521224,20355,13292,107,1906,18188,4579,55690,111494
"Pennsylvania",2022,12972008,5126146,7845862,987549,1845636,5017489465,423.4,226.55,"Yes",1985650,1020545,447727,4152,252,2487,76381,956,179756,253394
"Rhode Island",2022,1093734,421936,671798,85398,139362,424913309,414.64,254.08,"Yes",141443,63573,12334,992,0,0,1951,55,32453,30085
"South Carolina",2022,5282634,2046813,3235821,304289,618978,1719271318,470.84,231.47,"Yes",669774,234935,349774,2303,0,872,5283,249,14551,61807
"South Dakota",2022,909824,292849,616975,33795,71012,143211449,353.14,168.06,"Yes",87324,44027,4766,22016,0,5322,24,446,925,9798
"Tennessee",2022,7051339,2524911,4526428,417783,825340,1800936365,359.23,181.84,"Yes",940489,506283,292907,1467,210,395,17216,764,31693,89554
"Texas",2022,30029572,8874661,21154911,1519529,3440726,9882113180,541.95,239.34,"Yes",4516940,1376486,815524,34524,0,20795,140742,8794,687750,1432325
"Utah",2022,3380800,748088,2632712,75181,156291,426939679,473.24,227.64,"Yes",225362,157525,3419,4905,0,233,4672,14200,15530,24878
"Vermont",2022,647064,275859,371205,40337,69483,205688345,424.94,246.69,"Yes",61651,51331,1645,585,0,0,2313,0,513,5264
"Virginia",2022,8683619,2987959,5695660,402629,794646,2324190266,481.04,243.73,"Yes",964302,394907,368863,2954,0,558,40167,1927,52875,102051
"Washington",2022,7785786,2841230,4944556,505388,874543,2527621418,416.78,240.85,"Yes",1060218,571713,84952,27666,1165,2756,72319,22709,96321,180617
"West Virginia",2022,1775156,866387,908769,166851,310879,884685288,441.85,237.15,"Yes",357140,301787,20993,432,0,144,490,155,1496,31643
"Wisconsin",2022,5892539,2113978,3778561,372803,708238,2075620737,463.97,244.22,"Yes",749650,416190,146054,15311,0,2136,25203,0,24278,120478
"Wyoming",2022,581381,182050,399331,14144,30178,67165451,395.73,185.47,"Yes",39473,28883,594,3682,0,546,158,0,1045,4565
"Alabama",2021,5039877,1875601,3164276,373817,769606,1974053519,440.07,213.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
